Kode Siklus,Age,Date,ABW,Size,Total Weight,Feed ,Feed Accumulation,Survival Rate,Panen,Berat Panen
50,0,7/16/2018,,,,,0,100,,
50,1,7/17/2018,,,,2.5,2.5,78.13,,
50,2,7/18/2018,,,,3,5.5,88.24,,
50,3,7/19/2018,,,,3,8.5,83.33,,
50,4,7/20/2018,,,,3,11.5,78.95,,
50,5,7/21/2018,,,,3,14.5,75,,
50,6,7/22/2018,,,,3,17.5,71.43,,
50,7,7/23/2018,,,,3.5,21,79.55,,
50,8,7/24/2018,,,,3.5,24.5,76.09,,
50,9,7/25/2018,,,,4,28.5,83.33,,
50,10,7/26/2018,,,,4,32.5,80,,
50,11,7/27/2018,,,,4.5,37,83.33,,
50,12,7/28/2018,,,,5,42,86.21,,
50,13,7/29/2018,,,,5,47,80.65,,
50,14,7/30/2018,,,,5.5,52.5,83.33,,
50,15,7/31/2018,,,,5.5,58,78.57,,
50,16,8/1/2018,,,,6,64,81.08,,
50,17,8/2/2018,,,,6.5,70.5,83.33,,
50,18,8/3/2018,,,,6.5,77,79.27,,
50,19,8/4/2018,,,,7,84,81.4,,
50,20,8/5/2018,,,,7.5,91.5,83.33,,
50,21,8/6/2018,,,,8,99.5,81.63,,
50,22,8/7/2018,,,,8.5,108,80.19,,
50,23,8/8/2018,,,,9,117,78.95,,
50,24,8/9/2018,,,,9.5,126.5,77.87,,
50,25,8/10/2018,,,,10,136.5,76.92,,
50,26,8/11/2018,,,,10,146.5,72.46,,
50,27,8/12/2018,,,,11,157.5,75.34,,
50,28,8/13/2018,,,,11,168.5,71.43,,
50,29,8/14/2018,,,,12,180.5,74.08,,
50,30,8/15/2018,2.05,488,153.5901,12,192.5,74.92,,
50,31,8/16/2018,,,,13,205.5,79.35,,
50,32,8/17/2018,,,,13.5,219,80.61,,
50,33,8/18/2018,,,,14,233,81.82,,
50,34,8/19/2018,,,,15,248,85.85,,
50,35,8/20/2018,,,,16,264,89.72,,
50,36,8/21/2018,3.6,278,290.3616,17,281,80.66,,
50,37,8/22/2018,,,,17,298,79.1,,
50,38,8/23/2018,,,,18,316,82.17,,
50,39,8/24/2018,,,,18,334,80.65,,
50,40,8/25/2018,,,,19,353,83.59,,
50,41,8/26/2018,,,,19,372,82.11,,
50,42,8/27/2018,,,,20,392,84.93,,
50,43,8/28/2018,5.2,192,412.4276,20,412,79.31,,
50,44,8/29/2018,,,,22,434,85.79,,
50,45,8/30/2018,,,,22,456,84.38,,
50,46,8/31/2018,,,,24,480,90.57,,
50,47,9/1/2018,,,,24,504,89.14,,
50,48,9/2/2018,,,,21,525,76.78,,
50,49,9/3/2018,,,,18,543,64.81,,
50,50,9/4/2018,5.78,173,348.31436,16,559,60.26,,
50,51,9/5/2018,6.67,150,0,,559,81.83,81830,532.75
50,52,9/6/2018,,,,,559,81.83,,
50,53,9/7/2018,,,,,559,81.83,,
50,54,9/8/2018,,,,,559,81.83,,
50,55,9/9/2018,,,,,559,81.83,,
50,56,9/10/2018,,,,,559,81.83,,
50,57,9/11/2018,,,,,559,81.83,,
50,58,9/12/2018,,,,,559,81.83,,
50,59,9/13/2018,,,,,559,81.83,,
50,60,9/14/2018,,,,,559,81.83,,
50,61,9/15/2018,,,,,559,81.83,,
50,62,9/16/2018,,,,,559,81.83,,
50,63,9/17/2018,,,,,559,81.83,,
50,64,9/18/2018,,,,,559,81.83,,
50,65,9/19/2018,,,,,559,81.83,,
50,66,9/20/2018,,,,,559,81.83,,
50,67,9/21/2018,,,,,559,81.83,,
50,68,9/22/2018,,,,,559,81.83,,
50,69,9/23/2018,,,,,559,81.83,,
50,70,9/24/2018,,,,,559,81.83,,
50,71,9/25/2018,,,,,559,81.83,,
50,72,9/26/2018,,,,,559,81.83,,
50,73,9/27/2018,,,,,559,81.83,,
