Waktu Pengukuran,Kode Siklus,Suhu Air,Oksigen Terlarut,Salinitas,pH
2018-07-16 07:00:00+07:00,50,26.7,15.9,22.4,5.8
2018-07-16 17:00:00+07:00,50,28.9,15.2,22.7,7.62
2018-07-17 07:00:00+07:00,50,25.8,11.3,22.6,7.7
2018-07-17 17:00:00+07:00,50,28.9,14.2,22.8,8.46
2018-07-18 07:00:00+07:00,50,26,8.7,22.6,8.3
2018-07-18 17:00:00+07:00,50,29.4,11.6,23,8.4
2018-07-19 07:00:00+07:00,50,26.4,4.8,22.8,8.11
2018-07-19 17:00:00+07:00,50,29.3,5.7,25.5,8.15
2018-07-20 07:00:00+07:00,50,26.9,3.7,25.3,8.11
2018-07-20 17:00:00+07:00,50,29.5,4.3,25.6,8
2018-07-21 07:00:00+07:00,50,26.6,3.7,25.7,7.9
2018-07-21 17:00:00+07:00,50,29.4,4.85,26.8,8.12
2018-07-22 17:00:00+07:00,50,30.2,6.9,26.9,8.3
2018-07-23 17:00:00+07:00,50,30.2,6.9,26.9,8.3
2018-07-24 07:00:00+07:00,50,27.2,4.71,27.1,7.94
2018-07-24 17:00:00+07:00,50,30,8.26,27.5,8.06
2018-07-25 07:00:00+07:00,50,26.7,4.56,27.1,8.28
2018-07-25 17:00:00+07:00,50,29.3,7.77,27.6,8.22
2018-07-26 07:00:00+07:00,50,,4.85,28,7.94
2018-07-26 17:00:00+07:00,50,29.3,8.54,27.4,7.95
2018-07-27 07:00:00+07:00,50,25.4,5.18,27.1,7.82
2018-07-27 14:44:48+07:00,50,29.63,8.1,0,3.42
2018-07-27 15:54:02+07:00,50,29.88,6.84,27.33,7.46
2018-07-27 17:00:00+07:00,50,29.6,6.1,26.7,7.36
2018-07-28 07:00:00+07:00,50,27.2,4.45,27.9,2.86
2018-07-28 08:27:03+07:00,50,27.13,4.65,27.93,2.86
2018-07-28 16:16:59+07:00,50,30.31,5.97,26.77,2.86
2018-07-28 17:00:00+07:00,50,30.4,6.4,22,2.86
2018-07-29 07:00:00+07:00,50,27.75,5.03,27.14,2.86
2018-07-29 08:45:30+07:00,50,27.81,4.76,27.15,2.86
2018-07-29 15:38:36+07:00,50,30.13,13.28,27.19,2.86
2018-07-29 17:00:00+07:00,50,30.1,13.1,27.2,2.86
2018-07-30 07:00:00+07:00,50,26.9,5.65,27.2,2.86
2018-07-30 08:09:13+07:00,50,26.75,6.13,27.17,2.86
2018-07-30 17:00:00+07:00,50,30.3,10.8,27.5,2.87
2018-07-31 07:00:00+07:00,50,27.3,4.1,27.8,2.87
2018-07-31 15:49:29+07:00,50,30.38,8.88,26.04,8.36
2018-07-31 15:49:37+07:00,50,30.44,8.88,26.05,8.36
2018-07-31 17:00:00+07:00,50,30.1,9.56,26.2,8.34
2018-08-01 07:00:00+07:00,50,27.4,3.62,27.5,7.92
2018-08-01 08:14:40+07:00,50,27.44,3.42,27.5,7.91
2018-08-01 15:41:55+07:00,50,30.25,14,29,8.25
2018-08-01 17:00:00+07:00,50,30.9,10.4,26.4,8.26
2018-08-02 15:37:09+07:00,50,31.13,14.19,27.29,8.57
2018-08-02 15:37:13+07:00,50,31.13,14.19,27.29,8.57
2018-08-02 15:38:23+07:00,50,31.25,15.59,27.15,8.57
2018-08-02 17:00:00+07:00,50,28.6,8,27.5,8.32
2018-08-03 15:18:42+07:00,50,28.75,8.3,26.92,8.34
2018-08-03 17:00:00+07:00,50,28.6,8,27.5,8.32
2018-08-04 07:00:00+07:00,50,26.1,4.74,27.5,7.77
2018-08-04 08:39:46+07:00,50,26.06,4.69,27.49,7.77
2018-08-04 16:31:34+07:00,50,28.19,7.64,25.72,8.27
2018-08-05 08:32:00+07:00,50,25.94,5.68,27.6,7.68
2018-08-06 07:00:00+07:00,50,26,,,
2018-08-06 15:42:58+07:00,50,28.88,8.91,25.54,8.37
2018-08-06 15:43:52+07:00,50,28.88,8.87,25.53,8.37
2018-08-06 15:44:00+07:00,50,28.88,8.97,25.53,8.37
2018-08-06 15:49:00+07:00,50,28.88,8.73,19.65,8.37
2018-08-06 15:49:04+07:00,50,28.88,8.73,19.65,8.37
2018-08-06 17:00:00+07:00,50,28.9,8.97,25.5,8.37
2018-08-07 07:00:00+07:00,50,25.5,5.44,28.2,7.75
2018-08-07 08:12:23+07:00,50,25.5,5.49,28.12,7.75
2018-08-07 08:14:20+07:00,50,25.63,5.55,28.14,7
2018-08-07 08:14:34+07:00,50,25.63,5.53,28.13,7.74
2018-08-07 15:46:02+07:00,50,27.75,9.28,0,8
2018-08-07 15:46:08+07:00,50,27.38,8.94,0,8
2018-08-07 15:46:12+07:00,50,27.31,8.94,0,7.99
2018-08-07 15:46:15+07:00,50,27,8.73,0,8
2018-08-07 15:46:19+07:00,50,26.88,8.73,0,8.03
2018-08-07 15:46:23+07:00,50,26.75,8.7,0,8.02
2018-08-07 15:46:39+07:00,50,26.44,8.74,0,7.87
2018-08-07 17:00:00+07:00,50,28.9,10.1,27.5,8.41
2018-08-07 23:21:02+07:00,50,27.31,3.48,27.44,8.04
2018-08-08 07:00:00+07:00,50,25.9,5.72,27.6,7.67
2018-08-08 12:03:29+07:00,50,28.31,8.02,28.96,7.99
2018-08-08 15:28:06+07:00,50,29,7.08,28.98,8.69
2018-08-08 15:28:52+07:00,50,29,6.85,28.89,8.68
2018-08-09 08:27:41+07:00,50,26.69,6.03,27.88,8.04
2018-08-09 15:32:31+07:00,50,29.88,7.75,28.43,8.44
2018-08-09 15:32:35+07:00,50,29.88,7.75,28.43,8.44
2018-08-09 15:32:44+07:00,50,29.88,7.82,28.38,8.43
2018-08-10 08:32:06+07:00,50,27.94,6.14,27.74,7.91
